Ano-Calendário;Ocupação Principal do Declarante;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Servidor das carreiras de auditoria fiscal e de fiscalização;63313;17517,39096;1871,456913;2571,551974;2023,321171;1866,984709;0,83304532;155,5034167;121,9750575;106,324951;1059,801641;3,63675501;253,226046;226,5742535;26,57750882;0,0742837;84,07403999;13865,0313;3179,135099;6,19239061;3172,942709;17,0366087;3189,977776;3464,900633;35,58285166;310,6108011;3724,320842;298,3683989;53036,27425;404,9150556;130,4197103;84,93805051;7,83596791;422,5131821;1124,738872;235,0206275;27,42894258;45,10940992;0,86642178;210,1150195;135,7439381
2020;Servidor das carreiras do Banco Central, CVM e Susep;4938;1420,806284;171,7049238;229,9572362;183,2318601;152,9297796;0,00105083;30,30102969;8,94371567;7,50497566;75,14214776;0,28204098;19,41122608;17,21642497;2,1937084;0,00109271;3,92528301;1122,365035;259,7849659;0,3367372;259,4482287;0,16968037;259,6179091;278,2482899;3,10835921;21,75245357;394,739434;31,20673605;5219,81144;26,71489238;27,36829083;20,5291571;1,10889011;47,84401027;79,52370082;18,37223574;2,34979057;3,59185654;0;24,89908168;13,77166306
2020;Deleg. de Polícia e serv. carreiras de polícia, exc. militar;134982;19547,40506;1648,66836;2090,150049;1955,87241;1893,331946;0,91913629;61,62132791;263,3078089;230,9855086;1139,007133;2,59153443;376,9322574;347,2930729;29,2694668;0,36971773;475,3682372;15103,33987;2797,609038;1,30290662;2796,306131;9,64322201;2805,942341;3162,929115;41,72415887;398,9591498;4603,499919;260,0207688;40042,49683;193,0787357;53,47347347;18,21477898;3,53547766;612,6217251;1227,650964;354,5215017;30,0051877;34,03764582;0,185444;163,1634665;54,83966352
2020;Servidor das carreiras de gestão governamental, analista etc;21029;3497,172999;322,036746;401,1625227;347,0745581;307,9525012;0,1008043;39,02125259;31,16781296;28,70972892;201,5278246;0,48221112;31,54392455;27,38630384;4,14473293;0,01288778;74,62455972;2782,047185;561,1448363;0,43735736;560,7074789;0,58007031;561,2875492;605,3404586;12,4422419;56,56497269;888,5409334;83,02108677;8844,286745;47,16136495;58,43709488;30,3612175;3,7493574;103,5658626;217,9974386;28,0749091;4,32656967;8,80365946;0;43,52301177;18,73922955
2020;Servidor das carreiras de ciência e tecnologia;12296;1727,148371;171,5153418;242,9202229;156,6017327;139,686766;0,01511823;16,89984849;17,80317427;13,25470511;131,2678229;0,4950618;18,4348598;16,23977299;2,19508681;0;41,16274395;1348,126721;251,4488607;0,23273177;251,2161289;1,14053773;252,3559118;277,8700432;7,15417549;32,68470983;350,3292544;29,31075817;4301,582569;44,87520731;12,36309891;4,78146422;3,80710996;41,77295532;143,75087;16,66346893;2,30555724;4,91997012;0,012;20,99404003;10,89079539
2020;Servidor das demais carreiras da admin. pública direta etc;415746;35607,07775;3114,584398;4780,266698;2359,668006;2210,452976;1,09381996;148,1212101;488,5440322;357,5815139;2228,32813;15,98734632;352,7584135;320,498594;31,7391448;0,52067469;2204,804967;27599,40934;3822,486299;2,47372806;3820,012571;9,41052459;3829,364067;4272,811819;213,8563851;659,5028992;7041,995804;559,3178137;67978,16773;471,1773392;110,7955852;64,5606791;31,81612426;849,9167452;2584,02455;329,8886583;32,63316638;76,80510732;0,52265667;263,7622491;128,0024119
2020;Titular de Cartório;10341;12954,9489;258,2859561;495,5489032;141,188354;53,54805158;0,03620978;87,60409263;12,32680583;11,22295677;106,662326;7126,048962;28,66322054;22,34280085;6,32041969;0;19,91569142;5508,920579;1417,446676;8,37486497;1409,071811;0,73940276;1409,811214;1293,433587;148,5910464;53,55979525;921,0163895;76,95963396;19655,68922;206,4129624;83,0789789;0,06355917;5,96196272;47,47772414;112,6514308;22,490942;6,3251463;9,38626918;0,69816931;43,87036714;272,2659826
2020;Dirigente ou adm. part. político, organização patronal etc;5131;318,0471836;276,4134288;339,9132835;9,94227427;8,29048974;0,04355502;1,60822951;3,64063;2,14569986;15,35114558;0,22218919;3,01874542;2,67027385;0,34847157;0;26,88933;256,8371693;35,50012233;0,0691669;35,43095543;0,04159367;35,4725491;33,32768344;6,0083899;4,04848229;99,48500246;4,79980386;7522,341389;8,73880836;1,85870167;0,01074215;0,38068713;6,61758917;18,09302103;2,80258413;0,36700508;0,68567448;0;2,43905035;60,82088948
2020;Dirigente, pres., diretor emp. indust., com. ou prest. serv.;2430232;107974,3143;64602,58095;330419,6303;2714,278686;1689,796301;0,42837418;1024,054011;876,8480434;636,7018452;4001,362943;367,6571579;708,5102656;586,663458;121,6601922;0,1866154;9320,500014;89348,4624;12575,18362;48,48342601;12526,70019;41,15028969;12567,83061;10771,93164;2178,496112;885,5225837;227251,5182;30329,3255;3087311,932;16035,22766;1620,744474;5,29816753;143,8099878;3651,865552;5736,874323;809,5622101;172,3909143;1027,562716;51,16295058;4063,620277;22257,66926
2020;Presidente e diretor empresa pública e soc. economia mista;9468;764,2100139;99,00846046;420,4665943;33,63061397;17,62061648;0,00075006;16,00924743;6,02038456;4,42523058;26,60528649;0,86261484;4,6646687;4,31264408;0,35202462;0;39,28625784;648,7149569;122,0701634;0,25144732;121,8187161;0,33331801;122,1520341;126,1834332;8,36656984;13,23235681;284,9706056;25,05124102;4400,856332;52,45000152;16,16522559;0,07139767;1,60792549;18,55984474;31,44081905;4,59242311;0,35802462;2,65916355;0,024;12,49406186;18,77196136
