Ano-Calendário;Tipo de Formulário de Declaração;Município;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;modelo completo;Abelardo Luz - SC;584;35,55521581;3,69709844;39,83838596;2,8030948;2,47749064;0;0,32560416;1,56659833;0,54254263;2,79290231;1,94443205;0,48868857;0,46228857;0,0264;0;0;25,41695712;2,91442142;0,01206332;2,9023581;0;2,9023581;2,92042094;0,42656901;0,44463185;24,73734475;1,12614358;232,197698;1,85811637;0,25655823;0,04052994;0,06692881;1,37023636;2,89832453;0,49559895;0,0264;0,07898454;0;0,32070871;0,2050362
2020;modelo completo;Abre Campo - MG;307;21,94966658;2,23013504;5,77423134;2,03121253;1,8294534;0;0,20175913;0,76862688;0,41137127;1,6612203;0,37227484;0,44277355;0,37904898;0,06372457;0;0;16,26218721;2,19660068;0,00010056;2,19650012;0,07736968;2,2738698;2,51345439;0,12061689;0,36020148;7,81242231;0;67,59045846;0,82452233;0,22321352;0;0,00848446;0,94825533;1,66140412;0,37904898;0,06372457;0,14252733;0;0,13233556;0,00000098
2020;modelo completo;Abreu e Lima - PE;3131;153,9062858;12,8810532;23,07826877;14,65888776;14,02495299;0,03769897;0,5962358;7,92661144;5,65730878;12,02663954;0,51090477;2,93764511;2,69695824;0,24068687;0;0;110,1882884;9,16998191;0,00862083;9,16136108;0,03604784;9,19740892;11,02571349;1,0273128;2,85561737;7,06199162;0,058;64,87555944;0,12936193;0,33484689;0,00583527;0,26073324;7,31656982;12,42881208;2,78821676;0,24068687;0,18112786;0;0,27570798;0,14903483
2020;modelo completo;Abreulândia - TO;25;1,10667807;0,06421692;0,09844923;0,10393541;0,10313621;0;0,0007992;0,08417796;0,02811186;0,04065445;0,03402659;0,02925709;0,02925709;0;0;0;0,78651471;0,04426168;0;0,04426168;0;0,04426168;0,06006144;0,00477995;0,02057971;1,76777816;0;1,88964998;0;0,0007992;0;0;0,04684258;0,04065445;0,02925709;0;0;0;0;0
2020;modelo completo;Acaiaca - MG;103;5,17794083;0,33077845;0,88038336;0,43744581;0,42349784;0;0,01394797;0,28656368;0,15048218;0,41984099;0,02307935;0,09526602;0,09526602;0;0;0;3,7652628;0,32617858;0,00000724;0,32617134;0;0,32617134;0,34445235;0,03778549;0,0560665;0,26390229;0,0125;7,13930763;0,01961316;0,00554758;0,00631671;0,00208368;0,2056978;0,41984099;0,09526602;0;0;0;0,0147299;0,00021
2020;modelo completo;Acajutiba - BA;192;10,09387776;0,67835244;1,78928317;0,99814676;0,92155967;0,0002232;0,07636389;0,44136752;0,19586781;0,79829301;0,113844;0,15895551;0,15000306;0,00895245;0;0;7,38740315;0,74414706;0;0,74414706;0,00258002;0,74672708;0,83664276;0,06230526;0,15222094;1,0267842;0;11,25505226;0,015;0,06495249;0;0,0114114;0,25338756;0,80067844;0,15000306;0,00895245;0;0;0,02414978;0
2020;modelo completo;Acarapé - CE;143;7,8875523;0,48864347;0,57738889;0,67593271;0,67177797;0;0,00415474;0,44591568;0,24765375;0,68189305;0,00321;0,22497883;0,18316396;0,04181487;0;0;5,60796828;0,48222028;0,0001089;0,48211138;0;0,48211138;0,5708477;0,04682007;0,13555639;0,21168908;0;7,21838623;0,26440567;0,00415474;0,00631671;0;0,31390136;0,68334673;0,18316396;0,04181487;0;0;0,01606271;0
2020;modelo completo;Acaraú - CE;804;51,80063412;4,97476886;9,30778872;5,02359181;4,58971076;0,00664283;0,42723822;2,69576465;1,97870485;3,69600452;0,73862676;0,66415669;0,63315555;0,03100114;0;0;37,00378484;3,99502708;0,00952432;3,98550276;0,09158799;4,07709075;4,92059411;0,31074501;1,15424837;6,93321306;0,05094394;69,85953299;1,40939735;0,33231399;0,0322982;0,08118685;3,24178025;3,75667198;0,66675388;0,03100114;0,0992267;0;0,22904059;0,05438651
2020;modelo completo;Acari - RN;188;13,07632981;0,84171958;2,03234364;1,19822841;1,05658126;0;0,14164715;0,51991824;0,18517767;0,86720827;0,06852234;0,23617059;0,15965707;0,07651352;0;0;10,00110429;1,32088346;0,00018803;1,32069543;0;1,32069543;1,29385326;0,16646365;0,13962148;1,56979661;0,046;20,52263793;0,10588784;0,08859617;0,0075612;0,05011233;0,36172;0,88102564;0,15991587;0,07864057;0,0015707;0;0,00968125;0,05
2020;modelo completo;Acará - PA;403;24,34910711;1,61097261;1,89620357;2,41228148;2,34399785;0;0,06828363;1,365048;0,87660464;1,43236682;0,052643;0,46929247;0,39084032;0,07845215;0;0;17,7408707;1,66048583;0;1,66048583;0,00009072;1,66057655;1,90051669;0,22386481;0,46380495;3,48174043;0,804948;12,75392592;0,03336488;0,04154963;0;0,0306855;1,16626606;1,43714178;0,39084032;0,07845215;0,0017;0;0,90547302;0
